HeroID,Group,Game Date,Adj MMR Before
17,Warrior,2016-01-06,2090.9971809106314
17,Warrior,2016-01-07,2080.0870244267753
17,Warrior,2016-01-08,2073.9956558599797
17,Warrior,2016-01-09,2062.9238205018287
17,Warrior,2016-01-10,2070.2258928302113
17,Warrior,2016-01-11,2096.456737199321
17,Warrior,2016-01-12,2127.8467005989646
17,Warrior,2016-01-13,2126.8212750239286
17,Warrior,2016-01-14,2137.4771644375737
17,Warrior,2016-01-15,2111.337441969483
17,Warrior,2016-01-16,2097.0332836671855
17,Warrior,2016-01-17,2113.2957925605283
17,Warrior,2016-01-18,2125.7862710571294
17,Warrior,2016-01-19,2158.7156336003277
17,Warrior,2016-01-20,2163.80455963989
17,Warrior,2016-01-21,2171.183197469751
17,Warrior,2016-01-22,2154.469175941427
17,Warrior,2016-01-23,2177.9809233400765
17,Warrior,2016-01-24,2209.16254222253
18,Support,2015-12-30,1914.7752256692215
18,Support,2015-12-31,1911.3763667177034
18,Support,2016-01-01,1921.240825031796
18,Support,2016-01-02,1898.8428730838345
18,Support,2016-01-03,1903.7997625618173
18,Support,2016-01-04,1899.803223194145
18,Support,2016-01-05,1912.8598482238096
18,Support,2016-01-06,1910.205382348822
18,Support,2016-01-07,1919.0109165368672
18,Support,2016-01-08,1910.567465952078
18,Support,2016-01-09,1902.2090436913102
18,Support,2016-01-10,1899.6264844130296
18,Support,2016-01-11,1905.5644234217784
18,Support,2016-01-12,1930.7479528963574
18,Support,2016-01-13,1949.2253867130974
18,Support,2016-01-14,1929.5506918763324
18,Support,2016-01-15,1906.5463407115615
18,Support,2016-01-16,1900.3991116842124
18,Support,2016-01-17,1923.782248885006
18,Support,2016-01-18,1916.0660113302254
18,Support,2016-01-19,1909.9438215214773
18,Support,2016-01-20,1929.862970258076
18,Support,2016-01-21,1915.8518255307858
18,Support,2016-01-22,1925.6077709173044
18,Support,2016-01-23,1925.5251850063182
18,Support,2016-01-24,1945.528433021742
19,Support,2015-12-30,1950.183102746276
19,Support,2015-12-31,1963.8014578970851
19,Support,2016-01-01,1966.9129091791133
19,Support,2016-01-02,1978.3397547262855
19,Support,2016-01-03,1968.7801161604284
19,Support,2016-01-04,1979.4921770711821
