,x,Before,Adjusted
315,1062.465997770346,22374,22581
316,1070.4738015607581,22804,23024
317,1078.4816053511709,23302,23497
318,1086.489409141583,24038,24290
319,1094.4972129319958,24128,24365
320,1102.505016722408,24667,24906
321,1110.5128205128208,25216,25462
322,1118.520624303233,25752,26004
323,1126.5284280936457,26155,26428
324,1134.536231884058,26797,27130
325,1142.5440356744707,27646,27980
326,1150.551839464883,28036,28373
327,1158.5596432552957,28695,29023
328,1166.567447045708,29190,29545
329,1174.5752508361206,29868,30253
330,1182.5830546265329,30287,30659
331,1190.5908584169456,30934,31339
332,1198.5986622073578,31866,32273
333,1206.6064659977706,32555,33020
334,1214.6142697881828,33106,33525
335,1222.6220735785955,33527,34013
336,1230.6298773690078,34115,34632
337,1238.6376811594205,34737,35253
338,1246.6454849498327,35745,36224
339,1254.6532887402454,36630,37195
340,1262.6610925306577,37098,37688
341,1270.6688963210704,37921,38471
342,1278.6767001114831,38687,39316
343,1286.6845039018954,39439,40096
344,1294.692307692308,40247,40867
345,1302.7001114827203,40674,41356
346,1310.707915273133,41546,42265
347,1318.7157190635453,42794,43461
348,1326.723522853958,43546,44289
349,1334.7313266443703,44114,44841
350,1342.739130434783,45263,46031
351,1350.7469342251952,45955,46713
352,1358.754738015608,46562,47373
353,1366.7625418060202,47591,48437
354,1374.770345596433,48120,48959
355,1382.7781493868451,49216,50071
356,1390.7859531772579,49864,50757
357,1398.79375696767,50798,51666
358,1406.8015607580828,51783,52697
359,1414.809364548495,52279,53226
360,1422.8171683389078,53167,54126
361,1430.82497212932,54267,55295
362,1438.8327759197327,54777,55768
363,1446.840579710145,55902,56958
364,1454.8483835005577,56611,57679
365,1462.85618729097,57110,58284
366,1470.8639910813827,58897,60070
367,1478.871794871795,58964,60126
368,1486.8795986622076,59974,61238
369,1494.8874024526199,61339,62646
370,1502.8952062430326,62225,63559
371,1510.9030100334448,63635,65047
372,1518.9108138238576,64535,65939
373,1526.9186176142698,65451,66871
374,1534.9264214046825,66669,68221
375,1542.9342251950948,66919,68517
376,1550.9420289855075,67269,68895
377,1558.9498327759197,67748,69433
378,1566.9576365663324,68336,70059
379,1574.9654403567447,69250,71121
380,1582.9732441471574,70155,72010
381,1590.9810479375697,71679,73625
382,1598.9888517279824,71539,73539
383,1606.9966555183946,73028,75156
384,1615.0044593088073,82617,84875
385,1623.01226309922,73847,76156
386,1631.0200668896323,74452,76888
387,1639.027870680045,75637,78246
388,1647.0356744704573,76834,79500
389,1655.04347826087,77235,79909
390,1663.0512820512822,77601,80377
391,1671.059085841695,78364,81226
392,1679.0668896321072,79276,83187
393,1687.0746934225199,79539,83399
394,1695.0824972129321,79494,83220
395,1703.0903010033448,237729,74455
396,1711.098104793757,81522,85093
397,1719.1059085841698,82393,85516
398,1727.113712374582,83526,86221
399,1735.1215161649948,84057,86421
400,1743.129319955407,85294,87462
401,1751.1371237458197,86166,88235
402,1759.144927536232,86386,88380
403,1767.1527313266447,87884,89870
404,1775.160535117057,88372,90154
405,1783.1683389074697,89600,91361
406,1791.176142697882,90343,91933
407,1799.1839464882946,91300,92850
408,1807.1917502787069,91870,93367
409,1815.1995540691196,92077,93534
410,1823.2073578595318,92705,94061
411,1831.2151616499445,93525,94951
412,1839.2229654403568,93534,94874
413,1847.2307692307695,94060,95421
414,1855.2385730211818,94345,95554
415,1863.2463768115945,95222,96362
416,1871.2541806020067,95351,96455
417,1879.2619843924194,96766,97948
418,1887.2697881828317,97331,98465
419,1895.2775919732444,97912,98932
420,1903.2853957636567,97748,98743
421,1911.2931995540694,98321,99280
422,1919.3010033444816,98866,99825
423,1927.3088071348943,99502,100427
424,1935.3166109253066,100070,100911
425,1943.3244147157193,100268,101113
426,1951.332218506132,100764,101569
427,1959.3400222965442,100925,101708
428,1967.347826086957,101302,102062
429,1975.3556298773692,101712,102458
430,1983.363433667782,101548,102208
431,1991.3712374581942,102061,102756
432,1999.3790412486069,102583,103245
433,2007.3868450390191,102212,102808
434,2015.3946488294318,102313,102927
435,2023.402452619844,102305,102890
436,2031.4102564102568,102053,102594
437,2039.418060200669,102144,102674
438,2047.4258639910818,101983,102452
439,2055.433667781494,102437,102948
440,2063.4414715719067,102463,102909
441,2071.449275362319,102435,102895
442,2079.4570791527317,103023,103524
443,2087.464882943144,103036,103459
444,2095.4726867335567,103273,103699
445,2103.480490523969,103153,103513
446,2111.4882943143816,103681,104082
447,2119.496098104794,102527,102910
448,2127.5039018952066,102820,103169
449,2135.511705685619,102423,102752
450,2143.5195094760315,101955,102265
451,2151.527313266444,102404,102711
452,2159.5351170568565,101909,102204
453,2167.5429208472688,101348,101613
454,2175.5507246376815,101469,101765
455,2183.5585284280937,100702,100984
456,2191.5663322185064,100657,100913
457,2199.5741360089187,100355,100599
458,2207.5819397993314,100900,101135
459,2215.5897435897436,100071,100316
460,2223.5975473801564,99759,99982
461,2231.6053511705686,99845,100040
462,2239.6131549609813,99119,99341
463,2247.6209587513936,99626,99809
464,2255.6287625418063,99834,100009
465,2263.6365663322185,98806,98984
466,2271.6443701226312,98320,98464
467,2279.6521739130435,98001,98151
468,2287.659977703456,97653,97792
469,2295.667781493869,97823,97974
470,2303.675585284281,97094,97219
471,2311.683389074694,96079,96217
472,2319.691192865106,95104,95211
473,2327.698996655519,94281,94405
474,2335.706800445931,93815,93942
475,2343.714604236344,93364,93492
476,2351.722408026756,92843,92946
477,2359.7302118171688,92431,92526
478,2367.738015607581,91509,91603
479,2375.7458193979937,91245,91323
480,2383.753623188406,89958,90039
481,2391.7614269788187,89424,89510
482,2399.769230769231,89008,89090
483,2407.7770345596437,88495,88571
484,2415.784838350056,88093,88173
485,2423.7926421404686,87094,87157
486,2431.800445930881,85597,85661
487,2439.8082497212936,85311,85391
488,2447.816053511706,84758,84807
489,2455.8238573021185,83772,83828
490,2463.831661092531,82466,82510
491,2471.8394648829435,81869,81912
492,2479.8472686733558,80599,80660
493,2487.8550724637685,80064,80118
494,2495.8628762541807,79300,79343
495,2503.8706800445934,78807,78851
496,2511.8784838350057,78289,78340
497,2519.8862876254184,77556,77593
498,2527.8940914158306,76755,76792
499,2535.9018952062434,75800,75831
500,2543.9096989966556,75275,75308
501,2551.9175027870683,74242,74282
502,2559.9253065774806,73706,73738
503,2567.9331103678933,72235,72272
504,2575.9409141583055,71746,71781
505,2583.9487179487182,71068,71100
506,2591.9565217391305,69897,69922
507,2599.964325529543,68517,68546
508,2607.9721293199555,67575,67598
509,2615.979933110368,66729,66752
510,2623.9877369007804,65676,65697
511,2631.995540691193,64852,64879
512,2640.0033444816054,72015,72033
513,2648.0111482720185,62872,62893
514,2656.018952062431,62119,62135
515,2664.026755852843,61538,61559
516,2672.0345596432553,60771,60791
517,2680.0423634336685,59922,59931
518,2688.0501672240807,59162,59186
519,2696.057971014493,58181,58200
520,2704.0657748049052,57136,57152
521,2712.0735785953184,56077,56087
522,2720.0813823857306,55705,55718
523,2728.089186176143,54765,54774
524,2736.096989966555,54238,54248
525,2744.1047937569683,53583,53596
526,2752.1125975473806,53037,53055
527,2760.120401337793,51898,51906
528,2768.128205128205,51259,51273
529,2776.1360089186182,50429,50436
530,2784.1438127090305,49995,50004
531,2792.1516164994428,49366,49379
532,2800.159420289855,48163,48173
533,2808.167224080268,47167,47183
534,2816.1750278706804,46407,46416
535,2824.1828316610927,45989,45997
536,2832.190635451505,44901,44910
537,2840.198439241918,44240,44251
538,2848.2062430323303,43326,43329
539,2856.2140468227426,42778,42788
540,2864.221850613155,42000,42007
541,2872.229654403568,41360,41368
542,2880.2374581939803,40212,40215
543,2888.2452619843925,39677,39684
544,2896.253065774805,39161,39164
545,2904.260869565218,38276,38281
546,2912.26867335563,37312,37317
547,2920.2764771460425,36554,36558
548,2928.2842809364547,35818,35825
549,2936.292084726868,35169,35169
550,2944.29988851728,34456,34460
551,2952.3076923076924,33540,33545
552,2960.3154960981046,32965,32967
553,2968.323299888518,32150,32158
554,2976.33110367893,31852,31857
555,2984.3389074693423,31586,31590
556,2992.3467112597555,30980,30981
557,3000.3545150501677,30424,30427
558,3008.36231884058,30004,30006
559,3016.3701226309922,29826,29827
560,3024.3779264214054,29306,29310
561,3032.3857302118176,28595,28596
562,3040.39353400223,27710,27712
563,3048.401337792642,26815,26817
564,3056.4091415830553,26368,26368
565,3064.4169453734676,25484,25489
566,3072.42474916388,25247,25250
567,3080.432552954292,24462,24463
568,3088.4403567447052,23630,23632
569,3096.4481605351175,22974,22975
570,3104.4559643255297,22189,22190
571,3112.463768115942,21969,21970
572,3120.471571906355,21386,21388
573,3128.4793756967674,21298,21299
574,3136.4871794871797,20863,20865
575,3144.494983277592,20440,20442
576,3152.502787068005,20160,20161
577,3160.5105908584173,19647,19649
578,3168.5183946488296,18942,18942
579,3176.526198439242,18359,18360
580,3184.534002229655,17612,17612
581,3192.5418060200673,17111,17113
582,3200.5496098104795,16825,16825
583,3208.557413600892,16415,16415
584,3216.565217391305,16087,16087
585,3224.573021181717,15945,15945
586,3232.5808249721294,15641,15641
587,3240.5886287625417,15456,15458
588,3248.596432552955,14746,14747
589,3256.604236343367,14361,14362
590,3264.6120401337794,14062,14063
591,3272.6198439241916,13656,13656
592,3280.627647714605,13431,13432
593,3288.635451505017,13290,13290
594,3296.6432552954293,13126,13126
595,3304.6510590858416,12647,12647
596,3312.6588628762547,12322,12324
597,3320.666666666667,11872,11872
598,3328.674470457079,11415,11415
599,3336.6822742474924,11322,11323
600,3344.6900780379046,11033,11033
601,3352.697881828317,10577,10577
602,3360.705685618729,10249,10249
603,3368.7134894091423,10006,10006
604,3376.7212931995546,9681,9681
605,3384.729096989967,9478,9478
606,3392.736900780379,9123,9123
607,3400.7447045707922,8782,8782
608,3408.7525083612045,8479,8479
609,3416.7603121516167,8211,8211
610,3424.768115942029,8115,8115
611,3432.775919732442,7923,7923
612,3440.7837235228544,7808,7808
613,3448.7915273132667,7423,7423
614,3456.799331103679,7302,7302
615,3464.807134894092,7075,7075
616,3472.8149386845043,6821,6822
617,3480.8227424749166,6575,6575
618,3488.830546265329,6276,6276
619,3496.838350055742,6104,6104
620,3504.8461538461543,5891,5891
621,3512.8539576365665,5947,5947
622,3520.861761426979,5656,5656
623,3528.869565217392,5557,5557
624,3536.877369007804,5418,5418
625,3544.8851727982164,5407,5407
626,3552.8929765886287,5314,5314
627,3560.900780379042,5022,5022
628,3568.908584169454,4822,4822
629,3576.9163879598664,4813,4813
630,3584.9241917502786,4701,4701
631,3592.931995540692,4639,4639
632,3600.939799331104,4504,4504
633,3608.9476031215163,4279,4279
634,3616.9554069119285,4275,4275
635,3624.9632107023417,4228,4228
636,3632.971014492754,4110,4110
637,3640.978818283166,3906,3906
638,3648.9866220735785,3695,3695
639,3656.9944258639916,3557,3557
640,3665.002229654404,3707,3707
641,3673.010033444816,3317,3317
642,3681.0178372352293,3115,3115
643,3689.0256410256416,3036,3036
644,3697.033444816054,2857,2857
645,3705.041248606466,2811,2811
646,3713.0490523968792,2782,2782
647,3721.0568561872915,2682,2682
648,3729.0646599777037,2446,2446
649,3737.072463768116,2358,2358
650,3745.080267558529,2320,2320
651,3753.0880713489414,2201,2201
