PrimaryName,Group,SubGroup,Game Date,Is Winner
Falstad,Assassin,Sustained Damage,2016-01-15,0.4643533752118855
Falstad,Assassin,Sustained Damage,2016-01-16,0.47875755287009064
Falstad,Assassin,Sustained Damage,2016-01-17,0.4652588555858311
Falstad,Assassin,Sustained Damage,2016-01-18,0.48000855249091295
Falstad,Assassin,Sustained Damage,2016-01-19,0.4704946485391958
Falstad,Assassin,Sustained Damage,2016-01-20,0.4647370566653078
Falstad,Assassin,Sustained Damage,2016-01-21,0.478455950430881
Falstad,Assassin,Sustained Damage,2016-01-22,0.4669794033570329
Falstad,Assassin,Sustained Damage,2016-01-23,0.47263389581804843
Falstad,Assassin,Sustained Damage,2016-01-24,0.47858347386172007
Gall,Assassin,Sustained Damage,2015-12-30,0.4429081177520071
Gall,Assassin,Sustained Damage,2015-12-31,0.43530330643061704
Gall,Assassin,Sustained Damage,2016-01-01,0.4396252602359473
Gall,Assassin,Sustained Damage,2016-01-02,0.43389886074911893
Gall,Assassin,Sustained Damage,2016-01-03,0.43435966086568495
Gall,Assassin,Sustained Damage,2016-01-04,0.42772298228868383
Gall,Assassin,Sustained Damage,2016-01-05,0.4200619490111985
Gall,Assassin,Sustained Damage,2016-01-06,0.42785489326956727
Gall,Assassin,Sustained Damage,2016-01-07,0.4250564602401046
Gall,Assassin,Sustained Damage,2016-01-08,0.42046041085991537
Gall,Assassin,Sustained Damage,2016-01-09,0.4208791208791209
Gall,Assassin,Sustained Damage,2016-01-10,0.42030556924593393
Gall,Assassin,Sustained Damage,2016-01-11,0.4145805348638417
Gall,Assassin,Sustained Damage,2016-01-12,0.43747150888922653
Gall,Assassin,Sustained Damage,2016-01-13,0.4414944054617865
Gall,Assassin,Sustained Damage,2016-01-14,0.4550842748657159
Gall,Assassin,Sustained Damage,2016-01-15,0.4363833243096914
Gall,Assassin,Sustained Damage,2016-01-16,0.44734151329243355
Gall,Assassin,Sustained Damage,2016-01-17,0.4625937442838851
Gall,Assassin,Sustained Damage,2016-01-18,0.44252044252044254
Gall,Assassin,Sustained Damage,2016-01-19,0.46955223880597013
Gall,Assassin,Sustained Damage,2016-01-20,0.45534458509142056
Gall,Assassin,Sustained Damage,2016-01-21,0.4416575790621592
Gall,Assassin,Sustained Damage,2016-01-22,0.4566715903495815
Gall,Assassin,Sustained Damage,2016-01-23,0.44902439024390245
Gall,Assassin,Sustained Damage,2016-01-24,0.4242021276595745
Gazlowe,Specialist,Siege,2015-12-30,0.4868043602983362
Gazlowe,Specialist,Siege,2015-12-31,0.4837142857142857
Gazlowe,Specialist,Siege,2016-01-01,0.4856799956358082
Gazlowe,Specialist,Siege,2016-01-02,0.48297062023939064
Gazlowe,Specialist,Siege,2016-01-03,0.4846485248404864
Gazlowe,Specialist,Siege,2016-01-04,0.4911550468262227
Gazlowe,Specialist,Siege,2016-01-05,0.507742007352122
Gazlowe,Specialist,Siege,2016-01-06,0.4980506822612086
Gazlowe,Specialist,Siege,2016-01-07,0.49641978071156856
Gazlowe,Specialist,Siege,2016-01-08,0.5022241992882562
Gazlowe,Specialist,Siege,2016-01-09,0.5011210762331838
Gazlowe,Specialist,Siege,2016-01-10,0.4967141846122738
Gazlowe,Specialist,Siege,2016-01-11,0.4923246960579639
Gazlowe,Specialist,Siege,2016-01-12,0.49729451172378253
Gazlowe,Specialist,Siege,2016-01-13,0.5100133511348465
Gazlowe,Specialist,Siege,2016-01-14,0.4932349323493235
Gazlowe,Specialist,Siege,2016-01-15,0.49952231472635455
Gazlowe,Specialist,Siege,2016-01-16,0.49251204583930197
Gazlowe,Specialist,Siege,2016-01-17,0.4962131104727083
Gazlowe,Specialist,Siege,2016-01-18,0.49427450980392157
Gazlowe,Specialist,Siege,2016-01-19,0.49790396341463417
Gazlowe,Specialist,Siege,2016-01-20,0.49757945695643024
Gazlowe,Specialist,Siege,2016-01-21,0.5045359385903698
Gazlowe,Specialist,Siege,2016-01-22,0.4961832061068702
Gazlowe,Specialist,Siege,2016-01-23,0.4948708878669968
Gazlowe,Specialist,Siege,2016-01-24,0.4888547271329746
Greymane,Assassin,Sustained Damage,2016-01-07,0.16666666666666666
Greymane,Assassin,Sustained Damage,2016-01-10,0.5
Greymane,Assassin,Sustained Damage,2016-01-11,0.5
Greymane,Assassin,Sustained Damage,2016-01-12,0.4806201550387597
Greymane,Assassin,Sustained Damage,2016-01-13,0.4779109430229083
Greymane,Assassin,Sustained Damage,2016-01-14,0.4699639020321286
Greymane,Assassin,Sustained Damage,2016-01-15,0.4674845687859504
Greymane,Assassin,Sustained Damage,2016-01-16,0.4651808742808015
Greymane,Assassin,Sustained Damage,2016-01-17,0.4612477890336067
Greymane,Assassin,Sustained Damage,2016-01-18,0.4639189809097004
Greymane,Assassin,Sustained Damage,2016-01-19,0.46449662210043935
Greymane,Assassin,Sustained Damage,2016-01-20,0.47142008318478906
Greymane,Assassin,Sustained Damage,2016-01-21,0.46336601659303955
Greymane,Assassin,Sustained Damage,2016-01-22,0.46508713976534916
Greymane,Assassin,Sustained Damage,2016-01-23,0.46457938013915245
Greymane,Assassin,Sustained Damage,2016-01-24,0.44324823131344204
Illidan,Assassin,Sustained Damage,2015-12-30,0.4455272363818091
Illidan,Assassin,Sustained Damage,2015-12-31,0.45329438493995455
Illidan,Assassin,Sustained Damage,2016-01-01,0.4524320109172434
Illidan,Assassin,Sustained Damage,2016-01-02,0.4535204678362573
Illidan,Assassin,Sustained Damage,2016-01-03,0.44587803227988787
Illidan,Assassin,Sustained Damage,2016-01-04,0.45074125874125875
Illidan,Assassin,Sustained Damage,2016-01-05,0.46197673498456915
Illidan,Assassin,Sustained Damage,2016-01-06,0.4595003182686187
Illidan,Assassin,Sustained Damage,2016-01-07,0.4654164637116415
Illidan,Assassin,Sustained Damage,2016-01-08,0.4639662946263582
Illidan,Assassin,Sustained Damage,2016-01-09,0.462603305785124
Illidan,Assassin,Sustained Damage,2016-01-10,0.4595523698069046
Illidan,Assassin,Sustained Damage,2016-01-11,0.46124534511128434
Illidan,Assassin,Sustained Damage,2016-01-12,0.45758432639870733
Illidan,Assassin,Sustained Damage,2016-01-13,0.45319215850718103
Illidan,Assassin,Sustained Damage,2016-01-14,0.4465998491216726
Illidan,Assassin,Sustained Damage,2016-01-15,0.44735149045678746
Illidan,Assassin,Sustained Damage,2016-01-16,0.4470430661446528
Illidan,Assassin,Sustained Damage,2016-01-17,0.4519960409105906
Illidan,Assassin,Sustained Damage,2016-01-18,0.4521290322580645
Illidan,Assassin,Sustained Damage,2016-01-19,0.47669964889881905
Illidan,Assassin,Sustained Damage,2016-01-20,0.4716820197884681
Illidan,Assassin,Sustained Damage,2016-01-21,0.4637327981651376
Illidan,Assassin,Sustained Damage,2016-01-22,0.46243969676085456
Illidan,Assassin,Sustained Damage,2016-01-23,0.4625107727664464
Illidan,Assassin,Sustained Damage,2016-01-24,0.45963855421686745
Jaina,Assassin,Burst Damage,2015-12-30,0.4835592221567472
Jaina,Assassin,Burst Damage,2015-12-31,0.48831761297084025
Jaina,Assassin,Burst Damage,2016-01-01,0.48601050344078234
Jaina,Assassin,Burst Damage,2016-01-02,0.48379306755490786
Jaina,Assassin,Burst Damage,2016-01-03,0.48375668305670666
Jaina,Assassin,Burst Damage,2016-01-04,0.4795180722891566
Jaina,Assassin,Burst Damage,2016-01-05,0.4791517993679274
Jaina,Assassin,Burst Damage,2016-01-06,0.4830174829841185
Jaina,Assassin,Burst Damage,2016-01-07,0.48334241722305493
Jaina,Assassin,Burst Damage,2016-01-08,0.4808699024106508
Jaina,Assassin,Burst Damage,2016-01-09,0.4814510484190024
Jaina,Assassin,Burst Damage,2016-01-10,0.479460204145532
Jaina,Assassin,Burst Damage,2016-01-11,0.4798973481608212
Jaina,Assassin,Burst Damage,2016-01-12,0.4931050478640408
Jaina,Assassin,Burst Damage,2016-01-13,0.4932279408499489
Jaina,Assassin,Burst Damage,2016-01-14,0.4909083074801793
Jaina,Assassin,Burst Damage,2016-01-15,0.49252860668611176
Jaina,Assassin,Burst Damage,2016-01-16,0.4870472837022133
Jaina,Assassin,Burst Damage,2016-01-17,0.4902478494165744
Jaina,Assassin,Burst Damage,2016-01-18,0.48599384126353434
Jaina,Assassin,Burst Damage,2016-01-19,0.48607656373233027
Jaina,Assassin,Burst Damage,2016-01-20,0.4828975216767939
Jaina,Assassin,Burst Damage,2016-01-21,0.4783058444916959
Jaina,Assassin,Burst Damage,2016-01-22,0.47752593161736456
Jaina,Assassin,Burst Damage,2016-01-23,0.4811361901646494
Jaina,Assassin,Burst Damage,2016-01-24,0.48127431906614787
Johanna,Warrior,Tank,2015-12-30,0.4963672391017173
Johanna,Warrior,Tank,2015-12-31,0.4934486597584996
Johanna,Warrior,Tank,2016-01-01,0.49413724610751586
Johanna,Warrior,Tank,2016-01-02,0.491082782792097
Johanna,Warrior,Tank,2016-01-03,0.49682674692488876
Johanna,Warrior,Tank,2016-01-04,0.49407973912030745
Johanna,Warrior,Tank,2016-01-05,0.509436639704839
Johanna,Warrior,Tank,2016-01-06,0.5108421583459405
Johanna,Warrior,Tank,2016-01-07,0.5021732613908872
Johanna,Warrior,Tank,2016-01-08,0.5157463635079791
Johanna,Warrior,Tank,2016-01-09,0.5054543035785553
Johanna,Warrior,Tank,2016-01-10,0.5074813835339967
Johanna,Warrior,Tank,2016-01-11,0.5199900257667692
Johanna,Warrior,Tank,2016-01-12,0.5164464934834648
Johanna,Warrior,Tank,2016-01-13,0.5158984697150187
Johanna,Warrior,Tank,2016-01-14,0.5152455723936462
Johanna,Warrior,Tank,2016-01-15,0.526814759736035
Johanna,Warrior,Tank,2016-01-16,0.515058611361587
Johanna,Warrior,Tank,2016-01-17,0.5273355771854816
Johanna,Warrior,Tank,2016-01-18,0.5129689174705252
Johanna,Warrior,Tank,2016-01-19,0.5110441767068273
Johanna,Warrior,Tank,2016-01-20,0.5091463414634146
Johanna,Warrior,Tank,2016-01-21,0.5061787072243346
Johanna,Warrior,Tank,2016-01-22,0.509276747028108
Johanna,Warrior,Tank,2016-01-23,0.5107378524295141
Johanna,Warrior,Tank,2016-01-24,0.5002658160552897
Kael'thas,Assassin,Burst Damage,2015-12-30,0.5332825203252033
Kael'thas,Assassin,Burst Damage,2015-12-31,0.5262147724001152
Kael'thas,Assassin,Burst Damage,2016-01-01,0.5283639553584483
Kael'thas,Assassin,Burst Damage,2016-01-02,0.532835626546291
Kael'thas,Assassin,Burst Damage,2016-01-03,0.5332323298860417
Kael'thas,Assassin,Burst Damage,2016-01-04,0.5324506352364916
Kael'thas,Assassin,Burst Damage,2016-01-05,0.5328999265565922
